                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.52062,                0.35742,                0.97793,                  0.903,                      1,                0.94648,                 0.9249,                 0.2605,                0.28805,                0.84369,              0.0005744,              0.0005744,              0.0005744
                     38,                0.50753,                0.33893,                0.98058,                 0.9035,                      1,                0.95225,                0.93302,                0.25866,                0.29006,                0.84226,              0.0005348,              0.0005348,              0.0005348
                     39,                0.50852,                0.34003,                0.98105,                0.90327,                      1,                0.93149,                0.90453,                0.27538,                0.29066,                0.84732,              0.0004952,              0.0004952,              0.0004952
                     40,                0.50687,                0.33921,                0.97487,                 0.9035,                      1,                0.95755,                0.93855,                0.26098,                0.29047,                0.83873,              0.0004556,              0.0004556,              0.0004556
                     41,                0.38107,                0.29344,                0.93061,                0.90356,                      1,                0.95301,                0.93449,                0.27509,                0.28739,                0.83773,               0.000416,               0.000416,               0.000416
                     42,                0.38038,                0.29222,                0.93677,                0.90349,                      1,                0.95679,                0.93613,                 0.2869,                0.29053,                0.84802,              0.0003764,              0.0003764,              0.0003764
                     43,                0.37425,                0.28502,                0.91863,                0.90344,                      1,                0.95559,                0.93314,                0.26515,                 0.2804,                0.83577,              0.0003368,              0.0003368,              0.0003368
                     44,                0.36566,                0.28267,                0.92306,                0.90348,                      1,                0.95163,                0.93451,                 0.2556,                0.28667,                0.83053,              0.0002972,              0.0002972,              0.0002972
                     45,                0.35368,                0.27158,                0.90911,                0.90346,                      1,                0.96245,                0.94943,                0.26471,                0.27533,                 0.8296,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.3588,                0.27142,                0.91682,                0.90343,                      1,                0.94905,                0.93372,                0.25124,                0.27952,                0.82361,               0.000218,               0.000218,               0.000218
                     47,                 0.3513,                0.26489,                 0.9115,                0.90348,                      1,                0.95028,                0.94056,                0.24292,                 0.2811,                0.82557,              0.0001784,              0.0001784,              0.0001784
                     48,                0.34153,                0.26054,                0.91026,                0.90349,                      1,                0.96056,                0.94735,                0.23671,                0.26093,                0.82104,              0.0001388,              0.0001388,              0.0001388
                     49,                0.33463,                0.25769,                0.90567,                0.90347,                      1,                0.96195,                0.94895,                0.23288,                0.26029,                0.81652,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.3321,                0.25146,                0.90349,                0.90349,                      1,                0.95792,                0.94635,                0.23347,                0.26382,                0.81822,               5.96e-05,               5.96e-05,               5.96e-05
